Code,GEO/TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DE60,DE60 - Hamburg,1626222,1652360,1668758,1688789,1702889,1705872,1707901,1707986,1704731,1700089,1704735,1715392,1726363,1728806,1734083,1734830,1743627,1754182,1770629,1772100,1774224,1705700,1718187,1734272,1746342,1762791,1787408,1810438,1830584,1841179
DE7 ,DE7 - Hessen,5660620,5763293,5837339,5922678,5967329,5980693,6009913,6027284,6031705,6035137,6051966,6068129,6077826,6091618,6089428,6097765,6092354,6075359,6072555,6064953,6061951,5969408,5993771,6016481,6045425,6093888,6176172,6213088,6243262,6265809
DE71,DE71 - Darmstadt,3491419,3547188,3596111,3649645,3671031,3669956,3684624,3694537,3697606,3703089,3719354,3737589,3746852,3761749,3762995,3775025,3778124,3772906,3780232,3784767,3792941,3734199,3763611,3791381,3822479,3863818,3922369,3951234,3978050,3998724
DE72,DE72 - Gießen,981501,1003269,1016070,1032082,1042537,1049136,1055882,1060367,1060847,1060951,1063503,1063538,1065028,1065909,1065467,1064228,1061323,1057553,1053259,1048683,1044269,1027159,1025525,1023277,1023150,1029020,1040091,1043643,1045807,1047262
DE73,DE73 - Kassel,1187700,1212836,1225158,1240951,1253761,1261601,1269407,1272380,1273252,1271097,1269109,1267002,1265946,1263960,1260966,1258512,1252907,1244900,1239064,1231503,1224741,1208050,1204635,1201823,1199796,1201050,1213712,1218211,1219405,1219823
DE8 ,DE8 - Mecklenburg-Vorpommern,1963909,1923918,1891685,1864971,1843474,1832298,1823084,1817196,1807799,1798689,1789322,1775703,1759877,1744624,1732226,1719653,1707266,1693754,1679682,1664356,1651216,1614789,1606899,1600327,1596505,1599138,1612362,1610674,1611119,1609675
DE80,DE80 - Mecklenburg-Vorpommern,1963909,1923918,1891685,1864971,1843474,1832298,1823084,1817196,1807799,1798689,1789322,1775703,1759877,1744624,1732226,1719653,1707266,1693754,1679682,1664356,1651216,1614789,1606899,1600327,1596505,1599138,1612362,1610674,1611119,1609675
DE9 ,DE9 - Niedersachsen,7283800,7387257,7475809,7577531,7647994,7715363,7780422,7815148,7845398,7865840,7898760,7926193,7956416,7980472,7993415,8000909,7993946,7982685,7971684,7947244,7928815,7778828,7774253,7778995,7790559,7826739,7926599,7945685,7962775,7982448
DE91,DE91 - Braunschweig,1614203,1639872,1655379,1670253,1674726,1678659,1679640,1677842,1673828,1669708,1669634,1668603,1666864,1665368,1662595,1658918,1650435,1641776,1633318,1623649,1616720,1579623,1575968,1574527,1574936,1579754,1598164,1595609,1595734,1596396
DE92,DE92 - Hannover,2032401,2060670,2081705,2108598,2120525,2130480,2138965,2146742,2150450,2148713,2152759,2158307,2163904,2167876,2167157,2166626,2163919,2160253,2156841,2149181,2142440,2093945,2093431,2094931,2099079,2108413,2132290,2139976,2144120,2149805
